reviews,sentiments
"review relates appalling experiences british airways 14th february 2023. due travel madrid british airways setting heard radio flight delays. looked heathrow airport website saw flight cancelled. result information website, called british airways 26 minutes hold found speaking somebody call centre south africa. person hard understand due heavy accent incompetent insisted flight cancelled. made way heathrow sure enough flight indeed cancelled. woman question audacity declare flight cancelled “there facilities airport rebook you”. refused let 12 people join queue clearly marked assistance desk. woman one colleagues gave card telephone number told one rather elderly gentleman “go online rebook seat”. visually impaired found attitude ba employee appalling. called number card employee gave long queue call centre. person picked phone kept waiting 22 minutes declared flight cancelled airport “must wrong”. flippant tone said informed flight indeed cancelled would go speak iberia customer services heathrow rebook! took elderly gentleman iberia counter staff member rolled eyes disgust said nothing iberia. returned ba time joined check-in line told check-in agent happened. man question booked onto next available flight within matter minutes. gave £30 voucher form compensation said could add frequent flyer number partner airline. voucher proved useless afraid various shops predepature area refused accept although told could use clearing security none shops would accept it. aboard new flight service minimal. tiny bottle water packet pretzels nothing else available. full flight many people transferred cancelled flight. ba cabin crew announced additional items small bottle water pretzels ordered via skyshop.",Negative
"first time flying ba & pleasantly surprised. islamabad via doha comfortable crew great, friendly helpful. second flight operated qatar airways doha islamabad. return journey direct ba flight, 46kg luggage allowance really generous stopped hassle connecting flights. crew flight really nice too. let ba food, really nice, ife could content that's really huge issue.",Positive
"lots cancellations delays one apologized. edinburgh london feb 14th, 2023, original flight cancelled, rebooked one cancelled well, third rebooked one supposed departure 12:50 several delays 2:24. wait 57 minutes luggage arrive.",Negative
"ba 242 6/2/23. boarding delayed due late arrival incoming flight. communication ground staff excellent keep us informed. flight services excellent, crews friendly excellent service! overall, happy ba.",Positive
"first flight 17 years, also first time back england 17 years. flew pmi-lgw 21/01/2023 returned 29/01/2023. wizz air easyjet offered inconvenient flight times charged flights worth baggage. british airways convenient best value option available, offered ideal flight times €18 charge per flight baggage reasonable - total cost flights €126 +/- regular update information via email, seamless online seat allocation check in. efficient staff check desks pmi lgw ensured long queues dealt quickly humanly possible. immaculate aircraft, comfortable leather seats adequate legroom i'm 6'4"" tall cabin crew polite, friendly professional. flight food drinks good quality reasonably priced, enjoyed meat ploughman's ipa beer €10 -/+ total flights flown 80+ times last 50 years different airlines various propeller jet aircraft well one lgw-lhr helicopter transfer. flying totally different experience 'back day', age 'budget airline' nostalgia aside.. british airways best airline i've flown with.",Positive
"husband flying madrid 3rd february legal matter madrid 13:00 pm. booked flight car ba holidays. unfortunately chose parking never used before, got lost, missed 6:00 flight madrid. tried stay calm, cold head went british airways get help. first lady spoke asked done booking ba holidays, know that, gave us number call told us anything else, call number. called number, asking us call another number, message opening hours 8 till 4 pm, went back lady explained wait 8 am, told us could anything. reach another staff , lovely young lady called althea. started look it, made several calls, went check someone else office, managed get someone send text message call, got answered lovely lady line, modified booking place us following flight 7.30 am. charge us that, car reservation flight back maintained made madrid. without support lovely althea, professionalism, care us, would make it. sweet, caring, time determined help, sure went beyond role responsibilities.",Positive
organised boarding process. really friendly crew. quick drink snack. great experience. crew credit ba. best crew europe.,Positive
"outward journey ba245 london buenos aires club world 10 january 2023. experience poor beginning end. although reserved seats 11f 12j, another passenger occupying 11f crew made attempt address problem. eventually, persuaded passenger move occupy designated seat 11d. boarded punctually offered drinks. asked drink, crew member said late blamed seating problem. crew member began taking orders dinner write gave minutes safety briefing. asked us repeat orders later. hot flannels smelled musty felt old ragged. one crew wondered aloud whether companion related. soup cold, told served flasks. explanation excuse? coffee weak tasted like instant granules. companion initially served bread roll dinner. breakfast menu stated 'selection rolls/pastries' choice companion given dried fruit pastry, would chosen bread roll. although previously asked offered supplied seat, small bottles water ran out. return journey ba244 buenos aires london heathrow world traveller plus 26 january 2023 huge contrast, warm welcome boarding crews professionalism throughout. its poor reflection club world service experience world traveller plus much better kinder. weighed advantages flat bed, considerable price difference worth paying catalogue errors inconveniences outlined above.",Negative
"check agent lhr helpful friendly flight crew. seat comfortable good leg room. however, food poor - barely better economy class poor quality limited selection wine. flight entertainment selections were limited. far inferior ba used offer. overall, premium economy product disappointing poor value money.",Negative
"disappointing. book ba fly day. return flight 6pm 28/1/23 cancelled, replaced flight 9pm. took 1/2 hour late meaning arrived gatwick well midnight onward transport connections. pay £70 taxi home. plus seats really snug. im 57” knees hitting seat front. ba me. trading name customer service reliability deteriorated. ryanair better aircraft take-off slots.",Negative
"excellent service ground board - first class product might leading edge, service around entire experience well worth cost ticket. concorde room heathrow well managed great place relax prior trip. flight slightly delayed heathrow arrived schedule johannesburg.",Positive
good lounge cape town. time departure. drinks high quality. sound dinner service. breakfast reasonable. arrival lounge good showers cold.,Positive
"really excellent journey. lounge overcrowded late afternoon, plenty edible food. easy boarding. new club world suites great compared last travelled year ago food drink back previous standards- choice individual wines rather bland blends, courses served individually cut glass china. beef cheek really tasty surprisingly good soup. crew excellent. good choice movies. breakfast good night's sleep- fruits etc first, manage full english offered. arrival time. could want? quite gulf standards overall, ba seems eventually got business class back standard",Positive
"flight one worst ever life. wanted pamper myself, bought business class. looking forward new experience. mention chaos changing gates several times, things may happen. surprised lack attention passengers. flight delayed almost 3 hours. even though staff offered vouchers, idea get them, told 10 minutes use boarding already begun. firstly, see anyone voucher, secondly, even got it, able use it. finally got airport, another waiting 30 minutes cross check. meantime, told due problems, load food, flight without food board. food offered given everyone plane small bag nuts. business class passenger, offered drinks only. all, business class contained 3 small glasses juice. received apology compensation company all. disgraceful cheap service expensive price.",Negative
"rather empty quiet flight tel aviv, friendly cabin crew due emptiness flight entire row allowed work easily much space required. unfortunately upon landing breaks overheated wait fire crew cool delayed us. otherwise overall excellent flight ba's part. first time flown flight actually taken correct time.",Positive
easy check staff member polite helpful made specific point acknowledging loyalty ba. security london fast. galleries north fine showers good. organised flight boarding. plane fine good crew new club world product. wife damaged storage area otherwise ok. take good drinks food service well run. slept well time arrival. found new seat design harder sleep in.,Positive
"silver flyer booking flight ba dublin would thought could use lounge even though ba used air lingus flight. travelled recently situation allowed kind gentleman desk even though said gold ? really accommodating wasnt big deal. two ladies desk like no. empathy all-saying guy shouldnt let word ? come ba booked flight you, made fly air lingus let use lounge silver flier.",Negative
"flew atl lhr 8th jan 2023. unlucky enough board 23 year old 777. refit gave decent ife screen seat looked decent. although combine ife cheap nasty earbuds, movie ruined. headrest great, pity little padding used seat wife uncomfortable. leg room general poor, especially passengers keep seat reclined start finish. zero room. aircraft tired. rubber spacers falling out, silicone sealer falling apart toilets. toilet seats old, stained. rubber arm rest hanging off. post take drinks/snacks offered. meal sent couple hours. poor. chicken cubes reminded dog food, mashed potatoes purified within inch life. stale rock hard roll, salad rice carrots?! dried crackers cheese. kids meal sad. tiny leaf salad enough dressing refloat shipwreck. coffee creamer given kids meal? snack decent adults, bagel cheese egg. hot tasty. kids snack green wrap spinach onions it. poor. mix food, ba service grunt, crammed seat 7 hours, landing remote stand enduring bus terminal ba opinion, terrible. flight disappointing. one great member cabin crew, everything else average.",Negative
"probably worst business class experience i've ever airline. issues: required purchase seats international club world business class. made known ticket purchase process cost additional $600 single leg lhr-lax family four. given strange business class seating layout ba a380s, leaving seat selection change could disastrous family. ridiculously long boarding times even small aircraft. vie-lhr leg, boarding time a320 50 minutes long, leading delayed departure. urgency part staff speed boarding times. severe overcrowding boarding area satellite c terminal 5 heathrow. boarding staff would allow passengers enter roped queue area boarding idea crowding extreme. overall boarding area far small a380, believe satellite designed built first a380s delivered. online check-in advance flights appears completely broken. urged repeatedly ba website, via email text ""upload covid documents"" even though, end 2022, covid documents required travel. filled basic contact information website - upload ""covid documentation"" - informed several hours later ""covid documents verified"". received another text message urging ""upload covid documentation"". vie-lhr leg, shop.ba.com page one directed attempting connect wifi plane indicated ridiculously incorrect remaining flight times - six hours, four hours landing. ba lounges club europe club world heathrow often seriously overcrowded. furniture carpeting finishes clubs worn dirty. said, food lounges pretty good quality. food quality ba lounges heathrow may redeeming thing airline. onboard, food beverage service far average international business class. terrible, one might say. lhr-lax leg, pre-meal beverage service mid-flight beverage services all. unlike business class offerings airlines, taking meal order flight attendants beginning flight. meals brought haphazardly shortly take off, ""chicken fish?"" type meal selection similar economy class. coffee tea service meals. food quality poor, pre-landing snack ""ploughman's lunch"" downright disgusting. . beverage bar set-up galley areas - beverages available passengers flight - standard international business class offerings. even bottles water seemed hidden away, requiring one ask flight attendants water. comment bizarre seating layout a380, others rightly panned awkwardness extremely poor design seating. seats 6' 2"" long stated ba website, found seats short 6' 2"" height. ""priority"" luggage tags followed baggage delivery.",Negative
"definitely recommended, especially business class. seats ridiculous small, food mediocre that, good luck internet even pay full internet entire flight. service however great. attendant saved crying. dont know designed aircraft expensive business class, order move middle seat go bathroom must rudely climb persons legs sitting aisle seat. seat like enclosed tiny cubicle storage space. ive unfortunately traveled british airways business class least 4 times within last 4 months. never unless choice. way, business class lounge south heathrow cattle pen.",
"ba shuttle service across uk still surprisingly good product. compared ba long haul doesnt always get best comments times. its reasonable priced, works well, fresh crews queues long distances walk. dont know still offer covid style bottle water snack stretching cup tea snack would great add service. currently line sky cafe its fiddly work get connected short trips.",Positive
"must admit like many others tend avoid ba long haul possible due many poor reviews. first ride ba a380 day exception. say. aircraft immaculate economy seat really comfortable thats it. ife didnt work wasnt interesting anyway. got map screenshot while. lunch poor quality plenty nice white wine alcoholic drinks made it. cabin crew pleasant poor grooming lets down. skirts, trouser suits, long sleeves short. jackets waistcoat. cardigans time could done better think. baggage delivery really quick. summing well still coming back ba yet. maybe old charm return soon.",Negative
paid £200 day flight upgrade economy premium economy. checkin could find booking little wait rang someone explains upgrade get deleted system checkin agent sees? took 5 minutes resolve. seat nice enough. stowage pocket front bit small. food reasonably nice. shame bathroom way back economy bit queue. ife system good selection mediocre. worst part flight cpt remote stand bussed in. passport control quickly took absolute age get luggage ruined would otherwise reasonable flight. upgrade worth £200 maybe £300 long flight offers £2000 whatever premium economy comedy pricing. score luggage fiasco would 7 8 / 10. luggage fiasco can't rate 4/10.,Negative
"ba website work weirdly deleted flight ""upcoming flights"" day departure. chaos cape town airport hundreds queuing computers down. chaos gate / queue management premium passengers. nice new a350 smart new club suite. champagne warm cabin crew said impossible serve cold, true air france manage it. disappointing meal, wine served late food finished time arrives. cheese ice cold tasteless can't champagne / white wine fridge used cheese?. good ife system mediocre film selection. disappointing breakfast. overall: 3 / 10. flew air france business month way better. sad what's become ba.",Negative
"absolutely terrible experience british airways. short flight london heathrow frankfurt, get suitcase time next flight cathay pacific melbourne, despite 3 hour gap two flights. told would arrange suitcase transferred directly melbourne - instead, got hong kong left there. finally tracked down, sent back london. happened christmas, stressful yet minimal communication team. plane crew may lovely, service outside nothing short dreadful, given option, avoid flying future.",Negative
"vancouver delhi via london. booked fly vancouver new delhi via london heathrow dec 22nd. received email dec 20th informing us industrial action uk. called find may impact travel. representative kind scared us possibly stranded travel offered us full refund. called confirm options offer solutions. asked cancel tickets told us cancellation fee. booked new tickets another airline double cost trip urgent simultaneously. told us longer cancel tickets system promised us make happen told us would get full refund. processed cancellation. 5 hours later emailed us tickets couldnt cancelled suggested cancel new tickets found another airline lost $1000 cancelling new tickets. now, representative claimed never said wont services available asked us worrying industrial action, “arrangements” made issues new information never given us before. kept british airway tickets. next day, asked speak manager report misguided whole situation. never heard back manager. logged check-in 15 hours take off, found van — lhr flight cancelled due bad weather vancouver. receive emails airport airline change. called ba asked rearrangements flight, offered rebooking additional $700-1000 per person price difference dates offered 7 days original flight supposed leave. additionally, cancel rest flights could reach since first flight cancelled, pay $1000 cancellation fee get refund. frustrated overall experience accommodations accountability wanted charge us service changes possible. phone 1.5 hours flights could booked getting sold - customer service person would take 15-20 minutes real search question option asked about. frustrating experience - lost time money ruined holidays completely. demanded speak manager, want take accountability team gave us small discount cancellation fee. total, phone 2 days back forth, without resolutions. felt misguided misinformed unfair policies towards customers. feel taken care all. pay price misinformation flights cancel ourselves. trouble, spent christmas without family missed urgent reasons travelling for.",Negative
"old a320 narrow pitch. flight perfectly time, constant announcements cockpit. friendly staff, free chips water. quick luggage delivery t5.",Positive
"another ba shambles. started well excellent check first t5, mid afternoon avoided early morning, evening scrum. concorde lounge, excellent service again. great choice cocktails, wine etc. food ok bit overcooked pretty reasonable. called boarding gate. chaos, people jostling position get plane. people children 5 called 8 people first bankrolling flight well 5. get told none lights first dimmed all, lights night. like detained interrogated! excellent wine champagne selection. dinner menu handed out. ill prawn cocktail start please. wont theyve loaded one 8 people guy 1a got it. bet felt like hed lottery. ok ill beef wellington, basically freezing slice beef lettuce. mains, ill curry, wont theyve substituted christmas dinner. im going maldives get away christmas. ended short ribs inedible, salad starter, water offered, bread roll. couldnt eat it. basically husband spent £20,000 2 return seats blinded lights left starving. apologies. watch ba virgin start flying direct october. always rest laurels treat customers like idiots.",
"turned 3.5 hours advance, terminal 5 london heathrow already carnage, 100s people trying check in, 5 desks manned. long queues security due 4 lines open. people stressed, pushing, shouting, flight delayed 2 hours, according pilot delay due suitcases needing loaded. missed connecting flight doha, 12 hours wait til next one. received voucher, approx £6 whole day. arrived 1 day later, suitcase didnt arrive me. filed claim desk, 5 days update, information, offer compensation solution offer. spoilt holiday, many personal belongings gone, xmas gifts missing, extensive expenses dont know reimbursed. beware ba, expect low level zero customer service, old planes, zero help anything goes wrong missing. personally avoid ba future costs.",Negative
"missing baggage customer service worst ive ever experienced. arrived back phoenix sunday evening air tags showed bags arrived monday, took three days finally delivered. understood due delays caused freezing fog london luggage make onto final flight. filled required form phoenix airport attempted fill one online received message saying bags already reported missing enter tracking code sent via email, email received. made phone calls daily told message sent hear back within 24 hours. finally email tracking number received tuesday night. went online tracking number wednesday requested provide information given form airport. luggage finally delivered thursday afternoon.",Negative
"british airways flag carrier used be. check-in staff club europe area display premium service provide good overall service. galleries south lounge busy, food good. good array salads, pasta, bread, hot food available. festive turkey ham pie particularly good. flight delayed lhr busy tuesday evening. boarding process stressful due lack queue management system majority passengers congregating around gate. despite ba using group system board, took almost 1hr board 240 passengers. flight good, good club meal service. bar service good seems ba done away champagne on-board also lounge. menu handed prior departure good food offering length flight. food good, beef cheek served vegetables chosen. ba always excelled catering changed. seat standard economy seat, table middle seat club europe, standard practice ba. seat comfortable, limited leg room. cabin clean, presentable, tidy issues. a321 featured wi-fi contains good landing page flight information, access speedbird cafe menu, access ba.com, good pricing strategy wither messaging streaming also. overall, airline still good world player, clear improvements needed ground staff. cabin manager good, crew club display expected behaviours business class. kept touching face, making eye contact passengers, seemed uninterested like want there.",Negative
"stupidly tried ba five year gap paid £7000 wife go barbados thought new business class layout might rival virgin atlantic route. six months ago ba announced switching planes old antique push-me-pull-you layout late reorganise holiday logistics. sure enough suffered appallingly uncomfortable flights room eight seats across, worn fittings, inedible food surly fas.",
"glasgow london delayed 1 hour. wife accept ba flight late delayed. rarely time. long accept this, wont disappointed planning ahead. theres high risk delays. connecting another airline oneworld its extremely risky.",Negative
"tried check online, offered upgrade premium economy £300. decided take it, website allow choose seats check in. phoned ba happy call picked quickly, told changed booking, check airport. turned three hours flight, told two adjacent aisle seats economy switched middle seats row four premium. check-in agent helpful fix suggested try ba desk airside. desk understaffed reach front line, told try boarding gate. gate, finally managed get one aisle seat one window, sitting together. going that, flight surprisingly good, decent food good service. flew back economy, bad either. flight attendants friendly enthusiastic, emma daniel, looked us, could better. i've obviously learned lesson late ba upgrades, everything else good.",Negative
"flew prague lhr. excellent service, attentive staff, first drink service, meal service choice three meals, later second drink service. reality - excellent flight. couple days later flew back lhr prague. boarding lhr t5 total chaos. onboard service cannot really called service: curtain business economy class later caused people endlessly passing get toilet. meal service could get unprofessional - 5 rows took two guys nearly 30 mins serve. constantly interrupted people passing toilets time yet. don´t know meal choice one bothers talking you. served afternoon tea consisting three canapes-like bites drink. would bother serving also scone. hardly 5 mins plates taken away - asked scone came surprise served co-ordination crew. crew busy chatting galley. reality - service could get worse. one must ask pay premium price for?",Negative
"disappointing especially business. service ancient, one world lounges catastrophe heathrow. business class seat similar economy electronics poor onboard.",Negative
outbound return flights offered decent meal. received tiny bag chips small bottle water. outraged us return flight even order food / drink card reader function. first last time we'll fly ba.,Negative
"flying warsaw one day meetings would flying back miami next day. initially flight delayed denver 3 hours. knew would miss connection warsaw. denver heathrow flight terrible. plane dirty, economy, usually fly business premium economy flight availability. plane 2/3 full service good. food inedible seats cramped although middle seat open made tolerable. arrived heathrow complete circus. passengers everywhere trying rebook missed connections. flight multiple flights missed connections. waiting line hour finally rebooked another ba flight warsaw. plane smallest 3x3 plane seen. packed like sardines. bag never showed cancel meeting bag fly back miami. ba shown desire help give standard answers hopefully bag show miami point retrieve there. mean bag sitting heathrow somewhere 6 different fight options get warsaw yet ba unwilling anything expedite getting bag warsaw leave miami next day.",Negative
"booked ba holiday marrakech, posting negative review regarding double tier points credit, confirm points credited. took ba eventually make good promise, thank you. based things resolved travelled ba since booked travel south africa first class 2nd january, looking forward new ba concorde lounge. keep ba, loyalty indeed 2way street.",
"extremely sub-par service. highlights: online meal selection. staff pretty much dropped whatever meal rude passenger wanted changed. last meal delayed last 40 minutes flight. plates literally grabbed away. hand unfinished plate staff dropped me. apology. offer napkin. scrounge piece paper clean jacket. none passengers told straighten seats meal. seat tilted, could barely keep plate tray without things slipping off. staff walked water biscuits. got exhausted got me. looked walked away. nothing offered.",Negative
"virtually gave british airways three years ago, writing avios opting airlines. return flights heathrow lisbon week good. aircraft pretty much full, service excellent food surprisingly good. particular shout-out flight attendant called jo, teams back enthusiastic attentive. i'm going start spending avios.",Positive
"pleasantly surprised airline could maintain steady schedule little delay considering time year weather. flight montreal return flight scotland, originally booked fly toronto, airline helped cancel rebooked cheaper flight. inflight service pretty decent andthey offer blanket pillow. well walk cabin offering drinks handing small snack prior leading meal service. food typical air plane food. thoroughly enjoyed flight issues flights.",Positive
"british airways late, website atrocious, let check-in 24 hours flight. trying 6 hours check website, and/or find real person speak with. customer service thick accent think speaking english.",Negative
flew amman london nov. 14 2022. sure type aircraft was. ticket economy plus. flight 5h35m. received exactly 250ml water 10 potato chips. seats recline entertainment system. food drink purchased. even get warm cup coffee teas. third time flown ba recently unhappy time write review. honestly never fly help it.,Negative
"worst experience ever airline. flew british airline august 21st 2022. one checked bag lost heathrow airport. aware time system error baggage belt many travelers affected. filed report missing bag day arrived lax airport, august 21st. waited patiently three weeks time frame either find bag eligible compensation. receive update lost bag, filed claim compensation, september 11th. since then, waiting response customer relation good signs resolving issue. emailed tried update claim still response today. contacted baggage team helpful ease prolonged waiting. way contact customer relations via website they're even getting back me. every time talk customer service agent, tell wait more. waiting almost three months issue resolved yet. whole experience hassle. unprofessional renowned airline like ba.",Negative
"flying lhr t5 cpt november 2022: ba app website working properly - would load ticket. lhr t5 smooth calm. checking process quick. - boarding card would scan security, gave one someone else different destination. ran back checkin get correct one. bags also tagged incorrectly disappeared. someone ran find bags depths t5 retag amazingly show cape town. told main lounge open b c pier lounges. turns false information ... b pier lounge open. main lounge overcrowded worn out. -arrived late gate train working. biz class lane quick giant queue get plane one airbridge, two. seat comfy cabin clean sinks taped waste working. offered hand sanitiser instead disgusting imagine going bathroom able wash hands sink. unbelievable ba dispatches planes condition. food average. wine served way late choice wine cold food, eat food first matching wines come quarter hour later. overall experience 2/10. flew air france fortalaza cdg lhr two weeks earlier way better. embarrassing ba.",Negative
"check shambles bwi, 3 counters open full flight. bag drop queue even longer regular check-in queue! boarding done zones carried reasonably well. board, fas fine, engaging outbound flight iad. aircraft cramped seats economy horrible. seated aisle seat row f entertainment box taking third legroom. overall, cramped seat, poor legroom awful ife screens. meal mediocre bar service meal time. lading, served hot sandwich oozing cheese wrapper pleasant handle tasted good! plane landed remote stand meant bussed t5 since raining, nice experience. overall, rate mediocre journey.",Negative
beyond disgusted fact baggage yet delivered 5 weeks emails calls ba. two pieces reported 29th september. ba responses generic non specific attempts speak customer service worker obstructed. airline touting values claiming yo one best world. disgraceful fully describe customer service.,Negative
"july 19th 2022 submitted complaint form regards fact ba misplaced luggage wedding trip italy we've lost 2 days incurred additional expenses retrieving them, provided copy receipts for. requested expenses reimbursed, agreed, sent requested information told 2 weeks receiving it. 4 months later british airways processed reimbursements stopped answering follow-ups matter.",Negative
